Ticket Number,Train No,Train Name,Passenger Name,Age,Gender,Date of Birth,Coach Number,Seat Number,Payment Done,Route Zone
237847226385,30128,Garib Rath Express,Yashwant Goyal,46,Male,1979-03-17,A4,42,982,ECR
330085369582,58094,Shatabdi Express,Vivek Saxena,19,Male,2006-01-28,B3,54,580,ECR
693892015319,66801,Rajdhani Express,Shalini Mohan,69,Female,1955-10-10,B4,17,1448,ECR
633616510925,36107,Shatabdi Express,Anjali Nair,19,Male,2005-12-28,A1,43,1380,NR
686296006853,33071,Shatabdi Express,Ravi Tripathi,59,Female,1965-12-16,S3,20,1230,WR
983025331055,73330,Shatabdi Express,Roshan Menon,42,Female,1983-02-02,S3,63,486,WR
353944119614,89048,Duronto Express,Rekha Ghosh,17,Male,2008-03-07,B3,17,814,ECR
308115177315,21111,Rajdhani Express,Tanya Bose,34,Female,1990-12-12,B2,46,1401,ECR
959590884382,73871,Rajdhani Express,Kiran Mishra,76,Male,1948-08-16,B4,37,331,ECR
734792180542,44205,Rajdhani Express,Sunita Bansal,42,Female,1982-10-13,B1,20,1430,CR
886495157390,72599,Rajdhani Express,Shalini Mohan,69,Male,1955-10-02,S5,10,671,SR
831556531688,84299,Rajdhani Express,Farhan Qureshi,48,Male,1976-08-10,A3,42,486,WR
507162525404,32021,Duronto Express,Sunita Bansal,6,Female,2018-06-24,B2,69,524,ECR
766665474277,60561,Garib Rath Express,Kartik Sen,52,Female,1972-06-17,B1,13,1487,SR
659056883418,58547,Rajdhani Express,Roshan Menon,47,Female,1978-03-18,S5,65,1129,NR
694147289802,72872,Shatabdi Express,Meena Rao,64,Female,1960-05-22,S4,18,801,WR
750170061900,48626,Duronto Express,Vimal Sethi,80,Male,1944-12-22,A3,54,812,NR
274637031634,12540,Humsafar Express,Sachin Malhotra,50,Male,1974-10-23,B4,45,1382,WR
608070373354,60176,Rajdhani Express,Ishaan Batra,25,Male,1999-07-08,B3,36,454,WR
